着順,枠番,馬名,父親,母親,性別,年齢,体重変化量,騎手,人気,調教師,種別,回り方,距離,天気,状態
1,4,インティ,ケイムホーム,キティ,牡,5,0,武豊,1,野中賢二,ダート,左,1600m,晴,良
2,3,ゴールドドリーム,ゴールドアリュール,モンヴェール,牡,6,14,C.ルメール,2,平田修,ダート,左,1600m,晴,良
3,2,ユラノト,キングカメハメハ,コイウタ,牡,5,2,福永祐一,8,松田国英,ダート,左,1600m,晴,良
4,5,モーニン,Henny Hughes,Giggly,牡,7,-4,和田竜二,9,石坂正,ダート,左,1600m,晴,良
5,7,コパノキッキング,Spring At Last,Celadon,せん,4,0,藤田菜七子,4,村山明,ダート,左,1600m,晴,良
6,6,サンライズソア,シンボリクリスエス,アメーリア,牡,5,-18,田辺裕信,5,河内洋,ダート,左,1600m,晴,良
7,5,サンライズノヴァ,ゴールドアリュール,ブライトサファイヤ,牡,5,6,戸崎圭太,6,音無秀孝,ダート,左,1600m,晴,良
8,4,サクセスエナジー,キンシャサノキセキ,サクセスアイニー,牡,5,0,松山弘平,11,北出成人,ダート,左,1600m,晴,良
9,6,ワンダーリーデル,スタチューオブリバティ,アストレアピース,牡,6,-4,柴田大知,14,沖芳夫,ダート,左,1600m,晴,良
10,8,オメガパフューム,スウェプトオーヴァーボード,オメガフレグランス,牡,4,2,M.デムーロ,3,安田翔伍,ダート,左,1600m,晴,良
11,1,クインズサターン,パイロ,ケイアイベローナ,牡,6,0,四位洋文,10,野中賢二,ダート,左,1600m,晴,良
12,7,ノボバカラ,アドマイヤオーラ,ノボキッス,牡,7,4,F.ミナリク,12,森秀行,ダート,左,1600m,晴,良
13,8,ノンコノユメ,トワイニング,ノンコ,せん,7,6,内田博幸,7,加藤征弘,ダート,左,1600m,晴,良
14,3,メイショウウタゲ,プリサイスエンド,シールビーバック,牡,8,0,北村宏司,13,安達昭夫,ダート,左,1600m,晴,良
1,2,ミスターメロディ,Scat Daddy,Trusty Lady,牡,4,-4,福永祐一,3,藤原英昭,芝,左,1200m,晴,良
2,2,セイウンコウセイ,アドマイヤムーン,オブザーヴァント,牡,6,-4,幸英明,12,上原博之,芝,左,1200m,晴,良
3,4,ショウナンアンセム,ジャングルポケット,ヴォラドーレス,牡,6,0,藤岡康太,17,田中剛,芝,左,1200m,晴,良
4,7,ダノンスマッシュ,ロードカナロア,スピニングワイルドキャット,牡,4,-2,北村友一,1,安田隆行,芝,左,1200m,晴,良
5,3,ティーハーフ,ストーミングホーム,ビールジャント,牡,9,-6,国分優作,11,西浦勝一,芝,左,1200m,晴,良
6,4,レッツゴードンキ,キングカメハメハ,マルトク,牝,7,-2,岩田康誠,5,梅田智之,芝,左,1200m,晴,良
7,8,デアレガーロ,マンハッタンカフェ,スーヴェニアギフト,牝,5,-6,池添謙一,8,大竹正博,芝,左,1200m,晴,良
8,6,ロジクライ,ハーツクライ,ドリームモーメント,牡,6,-2,C.ルメール,4,須貝尚介,芝,左,1200m,晴,良
9,3,アレスバローズ,ディープインパクト,タイセイエトワール,牡,7,-4,川田将雅,7,角田晃一,芝,左,1200m,晴,良
10,1,ラインスピリット,スウェプトオーヴァーボード,リボンストライプ,牡,8,-2,森一馬,16,松永昌博,芝,左,1200m,晴,良
11,8,ダイメイフジ,アグネスデジタル,ダイメイダーク,牡,5,10,丸山元気,14,森田直行,芝,左,1200m,晴,良
12,7,ペイシャフェリシタ,ハーツクライ,プレザントケイプ,牝,6,-4,松田大作,15,高木登,芝,左,1200m,晴,良
13,6,ヒルノデイバロー,マンハッタンカフェ,デック,牡,8,-8,横山典弘,18,昆貢,芝,左,1200m,晴,良
14,5,ナックビーナス,ダイワメジャー,レディトゥプリーズ,牝,6,2,大野拓弥,6,杉浦宏昭,芝,左,1200m,晴,良
15,7,モズスーパーフレア,Speightstown,Christies Treasure,牝,4,-6,武豊,2,音無秀孝,芝,左,1200m,晴,良
16,8,ダイメイプリンセス,キングヘイロー,ダイメイダーク,牝,6,18,M.デムーロ,9,森田直行,芝,左,1200m,晴,良
17,1,スノードラゴン,アドマイヤコジーン,マイネカプリース,牡,11,-4,藤田菜七子,10,高木登,芝,左,1200m,晴,良
18,5,ラブカンプー,ショウナンカンプ,ラブハート,牝,4,8,酒井学,13,森田直行,芝,左,1200m,晴,良
1,3,アルアイン,ディープインパクト,ドバイマジェスティ,牡,5,-4,北村友一,9,池江泰寿,芝,右,2000m,曇,良
2,4,キセキ,ルーラーシップ,ブリッツフィナーレ,牡,5,2,川田将雅,2,角居勝彦,芝,右,2000m,曇,良
3,2,ワグネリアン,ディープインパクト,ミスアンコール,牡,4,8,福永祐一,4,友道康夫,芝,右,2000m,曇,良
4,1,マカヒキ,ディープインパクト,ウィキウィキ,牡,6,-8,岩田康誠,10,友道康夫,芝,右,2000m,曇,良
5,6,エアウィンザー,キングカメハメハ,エアメサイア,牡,5,-8,浜中俊,5,角居勝彦,芝,右,2000m,曇,良
6,5,ブラストワンピース,ハービンジャー,ツルマルワンピース,牡,4,-4,池添謙一,1,大竹正博,芝,右,2000m,曇,良
7,8,スティッフェリオ,ステイゴールド,シリアスアティテュード,牡,5,0,田辺裕信,13,音無秀孝,芝,右,2000m,曇,良
8,4,ムイトオブリガード,ルーラーシップ,ピサノグラフ,牡,5,0,横山典弘,14,角田晃一,芝,右,2000m,曇,良
9,8,ダンビュライト,ルーラーシップ,タンザナイト,牡,5,-10,松若風馬,11,音無秀孝,芝,右,2000m,曇,良
10,3,エポカドーロ,オルフェーヴル,ダイワパッション,牡,4,-6,戸崎圭太,8,藤原英昭,芝,右,2000m,曇,良
11,7,ペルシアンナイト,ハービンジャー,オリエントチャーム,牡,5,2,M.デムーロ,3,池江泰寿,芝,右,2000m,曇,良
12,5,サングレーザー,ディープインパクト,マンティスハント,牡,5,10,F.ミナリク,7,浅見秀一,芝,右,2000m,曇,良
13,6,ステイフーリッシュ,ステイゴールド,カウアイレーン,牡,4,-6,藤岡康太,12,矢作芳人,芝,右,2000m,曇,良
14,7,ステルヴィオ,ロードカナロア,ラルケット,牡,4,-12,丸山元気,6,木村哲也,芝,右,2000m,曇,良
1,4,グランアレグリア,ディープインパクト,タピッツフライ,牝,3,-6,C.ルメール,2,藤沢和雄,芝,右,1600m,晴,良
