着順,枠番,馬名,父親,母親,性別,年齢,体重変化量,騎手,人気,調教師,種別,回り方,距離,天気,状態
-,1,デアリングタクト,エピファネイア,デアリングバード,牝,5, - ,松山弘平,-,杉山晴紀,芝,左,1600m,曇,良
-,2,ソングライン,キズナ,ルミナスパレード,牝,4, - ,池添謙一,-,林徹,芝,左,1600m,曇,良
-,3,メイショウミモザ,ハーツクライ,メイショウベルーガ,牝,5, - ,鮫島克駿,-,池添兼雄,芝,左,1600m,曇,良
-,4,マジックキャッスル,ディープインパクト,ソーマジック,牝,5, - ,戸崎圭太,-,国枝栄,芝,左,1600m,曇,良
-,5,ソダシ,クロフネ,ブチコ,牝,4, - ,吉田隼人,-,須貝尚介,芝,左,1600m,曇,良
-,6,ディヴィーナ,モーリス,ヴィルシーナ,牝,4, - ,武豊,-,友道康夫,芝,左,1600m,曇,良
-,7,レシステンシア,ダイワメジャー,マラコスタムブラダ,牝,5, - ,横山武史,-,松下武士,芝,左,1600m,曇,良
-,8,クリノプレミアム,オルフェーヴル,ダンシングクイーン,牝,5, - ,松岡正海,-,伊藤伸一,芝,左,1600m,曇,良
-,9,アブレイズ,キズナ,エディン,牝,5, - ,菅原明良,-,池江泰寿,芝,左,1600m,曇,良
-,10,ローザノワール,マンハッタンカフェ,ダノンスズラン,牝,6, - ,田中勝春,-,西園正都,芝,左,1600m,曇,良
-,11,ファインルージュ,キズナ,パシオンルージュ,牝,4, - ,C.ルメール,-,木村哲也,芝,左,1600m,曇,良
-,12,ミスニューヨーク,キングズベスト,マンハッタンミート,牝,5, - ,M.デムーロ,-,杉山晴紀,芝,左,1600m,曇,良
-,13,レイパパレ,ディープインパクト,シェルズレイ,牝,5, - ,川田将雅,-,高野友和,芝,左,1600m,曇,良
-,14,アカイイト,キズナ,ウアジェト,牝,5, - ,幸英明,-,中竹和也,芝,左,1600m,曇,良
-,15,アンドヴァラナウト,キングカメハメハ,グルヴェイグ,牝,4, - ,福永祐一,-,池添学,芝,左,1600m,曇,良
-,16,デゼル,ディープインパクト,アヴニールセルタン,牝,5, - ,藤岡康太,-,友道康夫,芝,左,1600m,曇,良
-,17,シャドウディーヴァ,ハーツクライ,ダイヤモンドディーバ,牝,6, - ,坂井瑠星,-,斎藤誠,芝,左,1600m,曇,良
-,18,テルツェット,ディープインパクト,ラッドルチェンド,牝,5, - ,D.レーン,-,和田正一郎,芝,左,1600m,曇,良
